outer_target,inner_validation,experiment,variant,parameter_id,parameters_json,seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_advanced,0,294.0,0.36054421768707484,0.77328382175833,0.6173188353915068,0.609920617251552,0.6148735577098631,0.20938815848526246,0.21170362866056985,0.7210884353741497,0.7140204737053393,0.6403508771929824,0.5983606557377049,0.6886792452830188,0.5660377358490566,-0.4779011497536477,2.5477467863761394,0.19524853864592023
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_exercise,0,294.0,0.36054421768707484,0.7443295865114412,0.5893609259919225,0.6243459658485806,0.6395649490458855,0.2163480075978234,0.2236240537985331,0.7346938775510204,0.7205439582496989,0.6454545454545455,0.6228070175438597,0.6698113207547169,0.6037735849056604,-0.2853522970154866,2.5752287059055576,0.21271565453006197
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_routine,0,294.0,0.36054421768707484,0.7753412284223203,0.6367824595731264,0.6003845766521921,0.6032224337883754,0.2048384401819246,0.20610337222404101,0.7346938775510204,0.7287735849056604,0.6578947368421053,0.6147540983606558,0.7075471698113207,0.5943396226415094,-0.5318545962749107,2.2326915956059756,0.2060256512839148
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,empirical_source,0,294.0,0.36054421768707484,0.7237304295463668,0.5795764589313398,0.622215995825192,0.6346131725758802,0.21541057734459593,0.2213940430201536,0.673469387755102,0.6459253311922922,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5188679245283019,-0.38643224922544755,1.9021731294183255,0.22573300580366537
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mar_age_sex_30,0,294.0,0.36054421768707484,0.736601766358892,0.6180410013926371,0.6187206185958918,0.6262562823228344,0.2139128837464589,0.21747551495390893,0.6836734693877551,0.6724207145724608,0.5903083700440529,0.5537190082644629,0.6320754716981132,0.5188679245283019,-0.45237785216052484,2.1191036666189835,0.21046939010412585
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mcar_10,0,294.0,0.36054421768707484,0.7352468887996789,0.5591175297503378,0.6248852321448493,0.631717918810645,0.21663723367197396,0.21987997256949907,0.673469387755102,0.6603271778402249,0.5752212389380531,0.5416666666666666,0.6132075471698113,0.5188679245283019,-0.4615538050510732,2.0351390051303766,0.2349143582616775
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mcar_30,0,294.0,0.36054421768707484,0.7190385387394621,0.5889889477762895,0.6262871160763706,0.6316297545717962,0.21761324564324966,0.220182573316267,0.6530612244897959,0.6381975110397431,0.5486725663716814,0.5166666666666667,0.5849056603773585,0.5,-0.4919140192485778,1.9010760289045197,0.2264353466210613
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mcar_50,0,294.0,0.36054421768707484,0.621236451224408,0.43706904856358325,0.6624894538179477,0.6719645966637995,0.23511684547613673,0.23967978228474807,0.6020408163265306,0.5797872340425532,0.47533632286995514,0.452991452991453,0.5,0.2641509433962264,-0.49781792605905045,0.9587697379086033,0.32974071549623124
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,natural,0,294.0,0.36054421768707484,0.7764953833801685,0.6197451600222313,0.6080803237438109,0.6132689841145644,0.20849004276555055,0.2109214263149265,0.7244897959183674,0.7166800481734243,0.6431718061674009,0.6033057851239669,0.6886792452830188,0.6415094339622641,-0.47106985198220575,2.5801428563805646,0.19259237712400012
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_advanced,0,123.0,0.9349593495934959,0.7239130434782609,0.9712643551825728,0.5756058997697514,0.6427583769194133,0.19351428848326274,0.22546426371539902,0.7804878048780488,0.7663043478260869,0.8695652173913043,0.9782608695652174,0.782608695652174,0.3565217391304348,2.329449496267146,2.0498842871888803,0.11008447269758587
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_exercise,0,123.0,0.9349593495934959,0.7108695652173913,0.9615246474840415,0.5090646256215783,0.6460137193884055,0.16100272465740645,0.22665153520696404,0.8536585365853658,0.6309782608695652,0.918918918918919,0.9532710280373832,0.8869565217391304,0.2956521739130435,1.9156496886248222,2.1399157765018457,0.055227291455844485
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,drop_routine,0,123.0,0.9349593495934959,0.6967391304347826,0.9594301996692347,0.47129120263233487,0.6724241690824951,0.1449193892356671,0.23974326538357404,0.8373983739837398,0.5641304347826087,0.9099099099099099,0.9439252336448598,0.8782608695652174,0.5739130434782609,1.876153131335029,1.5709150226887478,0.05253815158100387
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,empirical_source,0,123.0,0.9349593495934959,0.7576086956521739,0.9758107000918181,0.5634093616191888,0.6289936760642151,0.18766113801796327,0.21875698432479648,0.7886178861788617,0.7706521739130434,0.875,0.978494623655914,0.7913043478260869,0.391304347826087,2.2982151209084676,2.225801973575086,0.09956390614365582
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mar_age_sex_30,0,123.0,0.9349593495934959,0.7000000000000001,0.9733645719886981,0.5399797752539359,0.6589560587996589,0.17662393685097985,0.2340083695336079,0.8048780487804879,0.5467391304347826,0.8899082568807339,0.941747572815534,0.8434782608695652,0.5130434782608696,2.2191140943380763,1.4775469932485477,0.07354941254440983
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mcar_10,0,123.0,0.9349593495934959,0.6695652173913043,0.9658244917161396,0.5927595293675555,0.6560780197578929,0.20187361387938366,0.23199216314767476,0.7235772357723578,0.6777173913043478,0.8316831683168316,0.9655172413793104,0.7304347826086957,0.3391304347826087,2.4282377952075067,1.5282944720527807,0.14609360119659723
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,mcar_30,0,123.0,0.9349593495934959,0.6869565217391305,0.971958281386605,0.6173786602063943,0.6393658059209019,0.21388930737428904,0.22421640515505312,0.6422764227642277,0.6342391304347825,0.7708333333333334,0.961038961038961,0.6434782608695652,0.46956521739130436,2.561015015940213,1.6176628499686387,0.20143018919738373
