outer_target,inner_validation,experiment,variant,parameter_id,parameters_json,seed,fit_seed,best_epoch,validation_score,parameter_count,fit_seconds
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5062,1919440299,10,0.5461502050195863,71617,15.530022299994016
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5063,3929294135,10,0.49609653997396713,71617,13.118795400019735
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5064,145341874,10,0.5491342017980494,71617,13.166334199981065
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5065,1551979063,15,0.5441083477543853,71617,12.89197769999737
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5066,3610287630,5,0.5441398684504047,71617,10.855750400020042
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5067,1434077827,5,0.5479784854314528,71617,10.986404099996435
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5068,1082280584,15,0.5865985124184634,71617,15.935048700019252
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5069,209844116,15,0.5016841491073029,71617,15.331980500021018
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5070,1220000922,5,0.5679838619899737,71617,12.226999599981355
cleveland,hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5071,901501795,10,0.5095834952449337,71617,13.776233100012178
cleveland,switzerland,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5062,1022209323,5,0.6867317797956207,71489,13.532108299987158
cleveland,switzerland,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",5063,2552537694,15,0.6564196566706304,71489,17.78878380000242
