path,kind,family,scope,note,reference,created_utc,run_commit,retained_file_count,recorded_gate_or_failure
artifacts/failures/heart-outer-v5-sensitivity-v1-20260824T131522,failures,Post-outcome reporting sensitivity,post_outcome_sensitivity,Failed reporting attempt retained; no substitute result inferred,docs/HEART_OUTER_V5_SENSITIVITY.md,not_recorded,not_recorded,1,"failure_interrupted.json: {""status"": ""interrupted_for_performance_correction""}"
artifacts/reports/heart-outer-v5,reports,Locked heart report,locked_heart_with_disclosed_recoveries,Registered candidate superiority not confirmed,docs/HEART_OUTER_V5_RESULT.md,not_recorded,not_recorded,10,not_recorded
artifacts/reports/heart-outer-v5-sensitivity-v1,reports,Post-outcome reporting sensitivity,post_outcome_sensitivity,Bootstrap/reporting sensitivity after outcomes,docs/HEART_OUTER_V5_SENSITIVITY.md,not_recorded,not_recorded,8,not_recorded
artifacts/reports/heart-research-development-smoke-v1,reports,Combined development report,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,12,not_recorded
artifacts/reports/heart-research-development-smoke-v2-ensembles,reports,Combined development report,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,12,not_recorded
artifacts/reports/heart-research-development-v1,reports,Combined development report,post_outcome_development,"Combined controls, backbones and router report",docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,12,not_recorded
artifacts/reports/historical-psmask-ten-seed-sensitivity-v1,reports,Exact ten-seed sensitivity,post_outcome_sensitivity,Historical three-seed fits extended; no new confirmation,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,10,not_recorded
artifacts/reports/historical-psmask-ten-seed-sensitivity-v2-stability,reports,Exact ten-seed sensitivity,post_outcome_sensitivity,Historical three-seed fits extended; no new confirmation,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,12,not_recorded
artifacts/reports/readmission-outer-v3,reports,Independent readmission task,independent_task_exploratory,Patient-disjoint task; admission source is a domain proxy,docs/READMISSION_OUTER_V3_RESULT.md,not_recorded,not_recorded,7,not_recorded
artifacts/reports/shiftguard-revisions-v1,reports,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,4,not_recorded
artifacts/reports/shiftguard-revisions-v2,reports,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,5,not_recorded
artifacts/reports/shiftguard-revisions-v2-power-audit,reports,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,7,not_recorded
artifacts/reports/shiftguard-revisions-v3-final-development,reports,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,not_recorded,not_recorded,7,not_recorded
artifacts/runs/classical-inner-confirm-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T23:45:54.770175+00:00,c7c5280ddd8973bfecb63dd71849f6ba61f4456e,6,not_recorded
artifacts/runs/classical-inner-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T20:34:39.825171+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,2,not_recorded
artifacts/runs/classical-inner-v1-rerun1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T20:36:23.601674+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,2,not_recorded
artifacts/runs/classical-inner-v1-rerun2,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T20:38:45.089449+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,2,not_recorded
artifacts/runs/classical-inner-v1-rerun3,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T20:39:29.855535+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,5,not_recorded
artifacts/runs/classical-outer-v3,runs,Comparator baselines,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T05:30:11.633844+00:00,e787c199b59ef77b839f22c8415375b83f573074,10,not_recorded
