outer_target,experiment,variant,parameter_id,parameters_json,mean_validation_score,worst_validation_score,median_best_epoch,mean_parameter_count,selection_score
cleveland,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6323302431368656,0.7915557009932065,5.0,71574.33333333333,0.7119429720650361
cleveland,v2_deepsets_equal_budget,v2,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5929997154417073,0.6695324086371681,10.0,54550.333333333336,0.6312660620394377
cleveland,v5_attention_equal_budget,v5,0,"{""backbone"": ""attention"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6136159698168387,0.7528059060451336,10.0,71574.33333333333,0.6832109379309862
cleveland,v5_deepsets_equal_budget,v5,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5868536204849147,0.6730511700107001,10.0,54550.333333333336,0.6299523952478074
hungary,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6624368850600872,0.7667246735312293,5.0,71659.66666666667,0.7145807792956582
hungary,v2_deepsets_equal_budget,v2,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6337959087689576,0.6998465237910603,10.0,54635.666666666664,0.6668212162800089
hungary,v5_attention_equal_budget,v5,0,"{""backbone"": ""attention"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6503484183869933,0.7597314554083537,5.0,71659.66666666667,0.7050399368976735
hungary,v5_deepsets_equal_budget,v5,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6292527887018778,0.6918039852089992,10.0,54635.666666666664,0.6605283869554386
switzerland,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6094665292708731,0.8351128340569804,10.0,71617.0,0.7222896816639268
switzerland,v2_deepsets_equal_budget,v2,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5733465791818643,0.6701834954563703,15.0,54593.0,0.6217650373191173
switzerland,v5_attention_equal_budget,v5,0,"{""backbone"": ""attention"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.593771784720866,0.7816720432819573,10.0,71617.0,0.6877219140014117
switzerland,v5_deepsets_equal_budget,v5,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5614499562052951,0.6688992305519514,15.0,54593.0,0.6151745933786232
va_long_beach,v2_attention_equal_budget,v2,0,"{""backbone"": ""attention"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.6020388226773046,0.9030899740703503,5.0,71659.66666666667,0.7525643983738275
va_long_beach,v2_deepsets_equal_budget,v2,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.0, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5617744144350217,0.6784184097987963,15.0,54635.666666666664,0.620096412116909
va_long_beach,v5_attention_equal_budget,v5,0,"{""backbone"": ""attention"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5804908101445362,0.7559703195402441,5.0,71659.66666666667,0.6682305648423901
va_long_beach,v5_deepsets_equal_budget,v5,0,"{""backbone"": ""deepsets"", ""brier_beta"": 0.1, ""d_model"": 64, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.1, ""evaluation_interval"": 5, ""learning_rate"": 0.0005, ""max_epochs"": 120, ""n_heads"": 4, ""n_layers"": 2, ""patience_evaluations"": 8, ""validation_mask_replicates"": 2, ""weight_decay"": 0.001}",0.5557001575406606,0.6747836921500582,15.0,54635.666666666664,0.6152419248453593
