outer_target,model,weighting,parameters_json,seed,source_rows,source_samples,source_sites,intercept,slope
cleveland,catboost,site_class_balanced,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 10.0}",5062,617,617,3,-0.09431253346308872,0.670992122132277
cleveland,catboost,site_class_balanced,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 10.0}",5063,617,617,3,-0.07891607964196704,0.658973122249953
cleveland,catboost,site_class_balanced,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 10.0}",5064,617,617,3,-0.07190858729788084,0.6338882839251813
cleveland,core_logistic,pooled,"{""C"": 0.1, ""l1_ratio"": 0.0}",5062,617,617,3,-0.9047663029030544,1.0573725698344247
cleveland,core_logistic,pooled,"{""C"": 0.1, ""l1_ratio"": 0.0}",5063,617,617,3,-0.9047663029030544,1.0573725698344247
cleveland,core_logistic,pooled,"{""C"": 0.1, ""l1_ratio"": 0.0}",5064,617,617,3,-0.9047663029030544,1.0573725698344247
cleveland,elastic_net_logistic,site_class_balanced,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",5062,617,617,3,0.00037175649490458096,0.007802508710480207
cleveland,elastic_net_logistic,site_class_balanced,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",5063,617,617,3,0.052322620303916406,0.06674326374321907
cleveland,elastic_net_logistic,site_class_balanced,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",5064,617,617,3,0.0768623001791753,0.12344337052545669
cleveland,hist_gradient_boosting,site_class_balanced,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",5062,617,617,3,0.004627050116811324,0.523214660473891
cleveland,hist_gradient_boosting,site_class_balanced,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",5063,617,617,3,0.004627050116811324,0.523214660473891
cleveland,hist_gradient_boosting,site_class_balanced,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",5064,617,617,3,0.004627050116811324,0.523214660473891
cleveland,lightgbm,site_class_balanced,"{""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15}",5062,617,617,3,-0.026243709516735905,0.5534918090884796
cleveland,lightgbm,site_class_balanced,"{""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15}",5063,617,617,3,-0.030131589515768276,0.5680804274607888
