outer_target,inner_validation,experiment,variant,parameter_id,parameters_json,seed,fit_seed,best_epoch,validation_score,parameter_count
cleveland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,697725484,2,0.6484723024121029,3393
cleveland,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,399202497,1,0.6891944145633406,3361
cleveland,va_long_beach,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,3883804955,2,0.681869642046077,3393
hungary,cleveland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,4118864411,2,0.7804855124654304,3393
hungary,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,1101689997,2,0.7010790706655483,3409
hungary,va_long_beach,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,183575739,2,0.7236812917865518,3409
switzerland,cleveland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,3152920372,2,0.6501706802799465,3361
switzerland,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,4159227160,2,0.7742016268232564,3409
switzerland,va_long_beach,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,3869008490,2,0.706086482439123,3409
va_long_beach,cleveland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,1437115575,2,0.7007400319119295,3393
va_long_beach,hungary,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,3791375342,2,0.6882042645145794,3409
va_long_beach,switzerland,smoke_v2,v2,0,"{""brier_beta"": 0.0, ""d_model"": 16, ""dro_lambda"": 0.5, ""dro_tau"": 0.2, ""dropout"": 0.0, ""evaluation_interval"": 1, ""learning_rate"": 0.001, ""max_epochs"": 2, ""n_heads"": 4, ""n_layers"": 1, ""patience_evaluations"": 2, ""validation_mask_replicates"": 1, ""weight_decay"": 0.001}",17,2620243215,2,0.6768783137713725,3409
